study_accession	run_accession	library_strategy
SRP015456	SRR649789	RNA-Seq
SRP015456	SRR646268	RNA-Seq
SRP015456	SRR563074	RNA-Seq
SRP015456	SRR563223	RNA-Seq
SRP015456	SRR649787	RNA-Seq
SRP015456	SRR646265	RNA-Seq
SRP015456	SRR653716	RNA-Seq
SRP015456	SRR653699	RNA-Seq
SRP065179	SRR2773405	RNA-Seq
SRP065179	SRR2773406	RNA-Seq
SRP065179	SRR2773407	RNA-Seq
SRP065179	SRR2773408	RNA-Seq
SRP065179	SRR2773411	RNA-Seq
SRP065179	SRR2773412	RNA-Seq
SRP065179	SRR2773417	RNA-Seq
SRP065179	SRR2773418	RNA-Seq
SRP065179	SRR2773421	RNA-Seq
SRP065179	SRR2773422	RNA-Seq
SRP065179	SRR2773425	RNA-Seq
SRP065179	SRR2773426	RNA-Seq
SRP065179	SRR2773427	RNA-Seq
SRP065179	SRR2773428	RNA-Seq
SRP065179	SRR2773431	RNA-Seq
SRP065179	SRR2773432	RNA-Seq
SRP065179	SRR2773433	RNA-Seq
SRP065179	SRR2773434	RNA-Seq
SRP065179	SRR2773435	RNA-Seq
SRP065179	SRR2773436	RNA-Seq
SRP065179	SRR2773445	RNA-Seq
SRP065179	SRR2773446	RNA-Seq
SRP065179	SRR2773449	RNA-Seq
SRP065179	SRR2773450	RNA-Seq
SRP073615	SRR3405833	RNA-Seq
SRP073615	SRR3405834	RNA-Seq
SRP073615	SRR3405835	RNA-Seq
SRP073615	SRR3405836	RNA-Seq
SRP073615	SRR3405837	RNA-Seq
SRP073615	SRR3405838	RNA-Seq
SRP073615	SRR3405839	RNA-Seq
SRP073615	SRR3405840	RNA-Seq
SRP073615	SRR3405841	RNA-Seq
SRP073615	SRR3405842	RNA-Seq
SRP073615	SRR3405843	RNA-Seq
SRP073615	SRR3405844	RNA-Seq
SRP073615	SRR3405845	RNA-Seq
SRP073615	SRR3405846	RNA-Seq
SRP073615	SRR3405847	RNA-Seq
SRP073615	SRR3405848	RNA-Seq
SRP073615	SRR3405849	RNA-Seq
SRP073615	SRR3405850	RNA-Seq
SRP073615	SRR3405851	RNA-Seq
SRP073615	SRR3405852	RNA-Seq
SRP073615	SRR3405853	RNA-Seq
SRP073615	SRR3405854	RNA-Seq
SRP073615	SRR3405855	RNA-Seq
SRP073615	SRR3405856	RNA-Seq
SRP165294	SRR8042971	RNA-Seq
SRP165294	SRR8042972	RNA-Seq
SRP165294	SRR8042973	RNA-Seq
SRP165294	SRR8042977	RNA-Seq
SRP165294	SRR8042978	RNA-Seq
SRP165294	SRR8042979	RNA-Seq
SRP165294	SRR8042983	RNA-Seq
SRP165294	SRR8042984	RNA-Seq
SRP165294	SRR8042985	RNA-Seq
SRP165294	SRR8042989	RNA-Seq
SRP165294	SRR8042990	RNA-Seq
SRP165294	SRR8042991	RNA-Seq
